거래일자,시장ID,종목코드,종목명,시각,결제월,결제월번호,종가
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0900",,"1","98"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0901",,"1","98.45"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0902",,"1","98.4"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0903",,"1","98.25"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0904",,"1","97.6"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0905",,"1","97.7"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0906",,"1","97.8"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0907",,"1","98.15"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0908",,"1","98.35"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0909",,"1","98.45"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0910",,"1","98.2"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0911",,"1","98.2"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0912",,"1","98.2"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0913",,"1","98.35"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0914",,"1","98.75"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0915",,"1","98.85"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0916",,"1","98.9"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0917",,"1","99.05"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0918",,"1","99.3"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0919",,"1","99.5"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0920",,"1","99.5"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0921",,"1","99.35"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0922",,"1","99.3"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0923",,"1","99.35"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0924",,"1","99.3"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0925",,"1","99.2"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0926",,"1","99.35"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0927",,"1","99.25"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0928",,"1","99.15"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0929",,"1","98.85"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0930",,"1","98.8"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0931",,"1","98.8"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0932",,"1","98.75"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0933",,"1","98.35"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0934",,"1","98.25"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0935",,"1","98.45"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0936",,"1","98.6"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0937",,"1","98.75"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0938",,"1","98.9"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0939",,"1","99"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0940",,"1","98.85"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0941",,"1","98.9"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0942",,"1","98.95"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0943",,"1","99.15"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0944",,"1","99.15"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0945",,"1","98.9"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0946",,"1","98.85"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0947",,"1","98.8"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0948",,"1","98.85"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0949",,"1","99"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0950",,"1","98.85"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0951",,"1","98.85"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0952",,"1","98.8"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0953",,"1","98.7"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0954",,"1","98.85"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0955",,"1","98.75"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0956",,"1","98.65"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0957",,"1","98.55"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0958",,"1","98.7"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","0959",,"1","98.75"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","1000",,"1","98.75"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","1001",,"1","98.65"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","1002",,"1","98.35"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","1003",,"1","98.2"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","1004",,"1","98.1"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","1005",,"1","98"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","1006",,"1","97.35"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","1007",,"1","97.3"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","1008",,"1","97.1"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","1009",,"1","97.5"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","1010",,"1","97.25"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","1011",,"1","97.35"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","1012",,"1","97.35"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","1013",,"1","97.45"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","1014",,"1","97.5"
"20040517","DRV","KR4101460000","KOSPI 200 선물 0406","1015",,"1","97.5"
